# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
29735.7000 w644 912022 1 10738.7000 n104 n81 121 N n104->n81
29777.4000 w825 752423 1 5455.4000 n16 n139 209 N n16->n139
29857.6000 w888 514993 1 3706.6000 n181 n113 238 N n181->n113
29864.0000 w778 988757 1 6917.0000 n104 n177 184 N n104->n177
29866.5000 w904 612720 1 3257.5000 n177 n104 245 N n177->n104
29869.2000 e97 901084 1 1039.2000 p208 p206 282 N p208->p206
29959.4000 e99 756477 1 606.4000 p202 p205 289 N p202->p205
29963.0000 w861 591157 1 4596.0000 n63 n155 223 N n63->n155
30103.9000 w907 519468 1 3415.9000 n157 n33 243 N n157->n33
30107.8000 w727 858233 1 8664.8000 n37 n71 155 N n37->n71
30121.2000 w574 725735 1 13217.2000 n46 n154 79 N n46->n154
30201.9000 w561 756224 1 13677.9000 n123 n67 72 N n123->n67
30213.7000 w453 822885 1 16868.7000 n150 n169 18 N n150->n169
30357.0000 e98 737305 1 1270.0000 p202 p201 278 N p202->p201
30360.7000 w973 910924 1 1739.7000 n143 n16 271 N n143->n16
30377.7000 e85 642636 1 5063.7000 p207 p204 215 N p207->p204
30460.3000 w748 848806 1 8395.3000 n24 n101 160 N n24->n101
30475.3000 w642 930660 1 11540.3000 n161 n139 107 N n161->n139
30478.5000 w462 866749 1 16866.5000 n58 n167 18 N n58->n167
30665.3000 w761 645290 1 8214.3000 n123 n110 163 N n123->n110
30696.8000 w666 865055 1 11041.8000 n58 n26 115 N n58->n26
30804.3000 w1035 878196 1 356.3000 n46 n55 294 N n46->n55
30806.0000 w906 835553 1 4146.0000 n78 n58 230 N n78->n58
30962.0000 w1051 966228 1 38.0000 n56 n52 299 N n56->n52
31084.0000 e90 909128 1 4296.0000 p205 p207 228 N p205->p207
31152.4000 w933 876630 1 3694.4000 n169 n48 238 N n169->n48
31226.9000 w595 741229 1 13679.9000 n35 n107 72 N n35->n107
31340.2000 w804 639987 1 7629.2000 n197 n145 172 N n197->n145
31447.7000 e103 703974 1 864.7000 p206 p205 285 N p206->p205
31478.0000 w726 656974 1 10067.0000 n15 n133 132 N n15->n133
31484.1000 w805 769777 1 7746.1000 n11 n123 170 N n11->n123
31581.1000 w960 626540 1 3344.1000 n54 n9 244 N n54->n9
31598.6000 w836 731477 1 6967.6000 n82 n88 183 N n82->n88
31618.1000 w616 734087 1 13456.1000 n130 n20 75 N n130->n20
31756.9000 w723 920261 1 10427.9000 n52 n124 126 N n52->n124
31816.2000 w936 737101 1 4272.2000 n44 n81 228 N n44->n81
31903.7000 w527 935919 1 16370.7000 n45 n115 27 N n45->n115
31985.5000 w479 853851 1 17874.5000 n86 n103 2 N n86->n103
31986.2000 w658 947490 1 12571.2000 n24 n149 90 N n24->n149
32133.1000 e106 589433 1 661.1000 p206 p208 288 N p206->p208
32151.3000 w1046 617643 1 1370.3000 n179 n78 277 N n179->n78
32244.0000 w989 769443 1 3138.0000 n136 n171 247 N n136->n171
32536.1000 w928 762038 1 5224.1000 n13 n61 212 N n13->n61
32689.0000 w521 826185 1 17331.0000 n108 n161 11 N n108->n161
32846.0000 e109 883841 1 394.0000 p206 p208 293 N p206->p208
32868.0000 e107 663320 1 1098.0000 p200 p201 281 N p200->p201
32898.0000 w938 706438 1 5300.0000 n70 n107 211 N n70->n107
32966.0000 w961 584924 1 4699.0000 n12 n160 221 N n12->n160
32979.9000 w1109 884407 1 367.9000 n125 n96 293 N n125->n96
33040.6000 w1024 956223 1 2909.6000 n24 n75 251 N n24->n75
33257.7000 w1078 695133 1 1519.7000 n60 n145 274 N n60->n145
33342.5000 w945 850968 1 5537.5000 n103 n117 207 N n103->n117
33405.5000 w534 675590 1 17663.5000 n55 n97 5 N n55->n97
33512.8000 w892 756904 1 7247.8000 n125 n116 179 N n125->n116
33582.8000 w560 856399 1 17092.8000 n96 n38 15 N n96->n38
